Entity,Code,Year,homicides_rate_100k
Australia,AUS,2008,1.2283583
Australia,AUS,2009,1.2141697
Australia,AUS,2010,1.049086
Australia,AUS,2011,1.1092706
Australia,AUS,2012,1.0691061
Australia,AUS,2013,1.0600654
Australia,AUS,2014,1.0353829
Australia,AUS,2015,0.99075425
Australia,AUS,2016,0.9381832
Australia,AUS,2017,0.84586084
Australia,AUS,2018,0.88473505
Australia,AUS,2019,0.887323
Austria,AUT,2000,1.0236655
Austria,AUT,2001,0.8706873
Austria,AUT,2002,0.80455583
Austria,AUT,2003,0.6157557
Austria,AUT,2004,0.72204673
Austria,AUT,2005,0.6563726
Austria,AUT,2006,0.7378053
Austria,AUT,2007,0.54251367
Austria,AUT,2008,0.6970206
Austria,AUT,2009,0.61129564
Austria,AUT,2010,0.7294182
Austria,AUT,2011,0.91762805
Austria,AUT,2012,0.96089554
Austria,AUT,2013,0.7193787
Austria,AUT,2014,0.4914542
Austria,AUT,2015,0.5091166
Austria,AUT,2016,0.6180974
Austria,AUT,2017,0.79568094
Austria,AUT,2018,0.9727943
Austria,AUT,2019,0.867123
Azerbaijan,AZE,2000,2.759349
Azerbaijan,AZE,2001,2.6322072
Azerbaijan,AZE,2002,2.532212
Azerbaijan,AZE,2007,2.1287594
Azerbaijan,AZE,2008,2.1334054
Azerbaijan,AZE,2010,2.2301123
Azerbaijan,AZE,2011,2.2545109
Azerbaijan,AZE,2012,2.129549
Azerbaijan,AZE,2013,2.2986166
Azerbaijan,AZE,2014,2.4225302
Azerbaijan,AZE,2015,2.1392045
Azerbaijan,AZE,2016,1.6940236
Azerbaijan,AZE,2017,1.8070674
Azerbaijan,AZE,2018,1.9404047
Azerbaijan,AZE,2019,1.6417869
Bangladesh,BGD,2000,2.587595
Bangladesh,BGD,2001,2.7933366
Bangladesh,BGD,2002,2.611454
Bangladesh,BGD,2003,2.5427973
Bangladesh,BGD,2004,2.8114474
Bangladesh,BGD,2005,2.549098
Bangladesh,BGD,2006,2.9208682
Bangladesh,BGD,2007,2.6801088
Bangladesh,BGD,2008,2.8187065
Bangladesh,BGD,2009,2.8758037
Bangladesh,BGD,2010,2.687492
Bangladesh,BGD,2011,2.640286
Bangladesh,BGD,2012,2.7049658
Bangladesh,BGD,2013,2.8520393
Bangladesh,BGD,2014,2.8943079
Bangladesh,BGD,2015,2.556548
Bangladesh,BGD,2016,2.247401
Bangladesh,BGD,2017,2.1935306
Bangladesh,BGD,2018,2.339875
Belarus,BLR,2000,9.87668
Belarus,BLR,2001,9.498875
Belarus,BLR,2002,9.757891
Belarus,BLR,2007,6.604935
Belarus,BLR,2008,5.639659
Belarus,BLR,2009,4.9909263
Belarus,BLR,2010,4.12067
Belarus,BLR,2011,3.842595
Belarus,BLR,2012,3.5074148
Belarus,BLR,2013,3.4361296
Belarus,BLR,2014,3.5074184
Belarus,BLR,2015,3.3606138
Belarus,BLR,2016,3.1623044
Belarus,BLR,2017,2.4722195
Belarus,BLR,2018,2.3309605
Belarus,BLR,2019,2.3258288
Belgium,BEL,2000,2.0654027
Belgium,BEL,2001,2.7354062
Belgium,BEL,2002,3.0804682
Belize,BLZ,2000,17.054483
Belize,BLZ,2001,25.796103
Belize,BLZ,2002,33.9861
Belize,BLZ,2003,25.37898
Belize,BLZ,2004,29.030403
Belize,BLZ,2005,28.88988
Belize,BLZ,2006,31.863733
Belize,BLZ,2007,32.640865
Belize,BLZ,2008,33.696304
Belize,BLZ,2009,30.874954
Belize,BLZ,2010,40.048866
Belize,BLZ,2011,37.628494
Belize,BLZ,2012,43.019176
Belize,BLZ,2013,28.721668
Belize,BLZ,2014,34.909958
Belize,BLZ,2015,33.067406
Belize,BLZ,2016,37.57019
Belize,BLZ,2017,37.89764
Belize,BLZ,2018,37.42809
Belize,BLZ,2019,34.43889
Bhutan,BTN,2000,3.0653586
Bhutan,BTN,2001,3.14969
Bhutan,BTN,2002,3.069229
Bhutan,BTN,2003,0.7878644
Bhutan,BTN,2004,2.3077242
Bhutan,BTN,2005,1.6583173
Bhutan,BTN,2006,1.3367802
Bhutan,BTN,2007,2.0539498
Bhutan,BTN,2008,2.6096904
Bhutan,BTN,2009,2.2933233
Bhutan,BTN,2010,2.267842
Bhutan,BTN,2011,4.485999
Bhutan,BTN,2012,4.576053
Bhutan,BTN,2013,3.2926848
Bhutan,BTN,2015,1.6144786
Bhutan,BTN,2016,1.2003818
Bhutan,BTN,2017,1.7193004
Bhutan,BTN,2018,1.1809528
Bhutan,BTN,2019,1.042401
"Bolivia, Plurinational State of",BOL,2015,4.896265
"Bolivia, Plurinational State of",BOL,2016,5.7000723
"Bolivia, Plurinational State of",BOL,2017,6.5322704
"Bolivia, Plurinational State of",BOL,2018,4.945332
"Bolivia, Plurinational State of",BOL,2019,4.2199774
Botswana,BWA,2001,12.089016
Botswana,BWA,2002,14.205095
Botswana,BWA,2003,17.078451
Botswana,BWA,2004,13.931584
Botswana,BWA,2005,15.373992
Botswana,BWA,2006,13.532407
Botswana,BWA,2007,14.235042
Botswana,BWA,2008,13.998765
Botswana,BWA,2009,14.104462
Botswana,BWA,2010,14.486071
Brazil,BRA,2000,25.79976
Brazil,BRA,2001,26.90898
Brazil,BRA,2002,27.543724
Brazil,BRA,2003,27.960468
Brazil,BRA,2004,26.19828
Brazil,BRA,2005,25.478415
Brazil,BRA,2006,26.037931
Brazil,BRA,2007,25.018942
Brazil,BRA,2008,26.020863
Brazil,BRA,2009,26.455711
Brazil,BRA,2010,26.630033
Brazil,BRA,2011,26.355639
Brazil,BRA,2012,28.197144
Brazil,BRA,2013,28.179903
Brazil,BRA,2014,29.358646
Brazil,BRA,2015,28.356405
Brazil,BRA,2016,29.589155
Brazil,BRA,2017,30.593037
Brazil,BRA,2018,26.636013
Brazil,BRA,2019,20.810465
Bulgaria,BGR,2000,4.099934
Bulgaria,BGR,2001,3.833296
Bulgaria,BGR,2002,3.1975684
Bulgaria,BGR,2003,3.1195772
Bulgaria,BGR,2004,3.1022274
Bulgaria,BGR,2005,2.546313
Bulgaria,BGR,2006,2.3950443
Bulgaria,BGR,2007,2.2930326
Bulgaria,BGR,2008,2.2410676
Bulgaria,BGR,2009,1.9647046
Bulgaria,BGR,2010,1.9493505
Bulgaria,BGR,2011,1.6969084
Bulgaria,BGR,2012,1.8829263
Bulgaria,BGR,2013,1.4667951
Bulgaria,BGR,2014,1.5192329
Bulgaria,BGR,2015,1.7238423
Bulgaria,BGR,2016,1.0902605
Bulgaria,BGR,2017,1.4340553
Bulgaria,BGR,2018,1.2926013
Bulgaria,BGR,2019,1.1768823
Burundi,BDI,2012,5.1043954
Burundi,BDI,2013,5.123366
Burundi,BDI,2014,5.3740325
Burundi,BDI,2015,4.2975073
Burundi,BDI,2016,5.82391
Cameroon,CMR,2000,3.041428
Cameroon,CMR,2001,4.873089
Cameroon,CMR,2002,6.478559
Cameroon,CMR,2003,6.126819
Cameroon,CMR,2008,4.1326976
Cameroon,CMR,2009,6.609979
Cameroon,CMR,2010,5.025647
Cameroon,CMR,2011,4.0833545
Cameroon,CMR,2012,4.1839643
Cameroon,CMR,2015,3.741421
Cameroon,CMR,2016,3.3190465
Cameroon,CMR,2017,4.1159043
Canada,CAN,2000,1.7794689
Canada,CAN,2001,1.7869376
Canada,CAN,2002,1.8580953
Canada,CAN,2003,1.736273
Canada,CAN,2004,1.9585313
Canada,CAN,2005,2.061093
Canada,CAN,2006,1.8689367
Canada,CAN,2007,1.8166627
Canada,CAN,2008,1.8483654
Canada,CAN,2009,1.815805
Canada,CAN,2010,1.6400001
Canada,CAN,2011,1.774293
Canada,CAN,2012,1.582503
Canada,CAN,2013,1.4516441
Canada,CAN,2014,1.4828578
Canada,CAN,2015,1.7099458
Canada,CAN,2016,1.7057317
Canada,CAN,2017,1.8192091
Canada,CAN,2018,1.7874861
Canada,CAN,2019,1.8362274
Chile,CHL,2003,3.2347336
Chile,CHL,2005,3.5609825
Chile,CHL,2006,3.6119704
Chile,CHL,2007,3.734343
Chile,CHL,2008,3.529102
Chile,CHL,2009,3.742549
Chile,CHL,2010,3.181574
Chile,CHL,2011,3.7033644
Chile,CHL,2012,2.5026278
Chile,CHL,2013,3.175342
Chile,CHL,2014,2.4763799
Chile,CHL,2015,2.3446956
Chile,CHL,2016,3.428468
Chile,CHL,2017,4.240938
Chile,CHL,2018,4.4114227
Chile,CHL,2019,3.9444344
China,CHN,2002,2.0513282
China,CHN,2003,1.8925831
China,CHN,2004,1.9055121
China,CHN,2005,1.5917081
China,CHN,2006,1.3687598
China,CHN,2007,1.2197381
China,CHN,2008,1.1134691
China,CHN,2009,1.0952669
China,CHN,2010,0.9946659
China,CHN,2011,0.8853467
China,CHN,2012,0.82586884
China,CHN,2013,0.77319944
China,CHN,2014,0.72791475
China,CHN,2015,0.66010606
China,CHN,2016,0.615883
China,CHN,2017,0.5665558
China,CHN,2018,0.53102547
China,CHN,2019,0.5189666
Colombia,COL,2000,67.6754
Colombia,COL,2001,69.88325
Colombia,COL,2002,70.170975
Colombia,COL,2003,57.29256
Colombia,COL,2004,48.525425
Colombia,COL,2005,42.895775
Colombia,COL,2006,40.86465
Colombia,COL,2007,39.712208
Colombia,COL,2008,36.836437
Colombia,COL,2009,35.693077
Colombia,COL,2010,34.494293
Colombia,COL,2011,35.59345
Colombia,COL,2012,35.90898
Colombia,COL,2013,33.35357
Colombia,COL,2014,28.585234
Colombia,COL,2015,27.128765
Colombia,COL,2016,26.040422
Colombia,COL,2017,25.434488
Colombia,COL,2018,26.231325
Colombia,COL,2019,25.753473
Costa Rica,CRI,2000,6.257551
Costa Rica,CRI,2001,6.340634
Costa Rica,CRI,2002,6.2581515
Costa Rica,CRI,2003,7.1622796
Costa Rica,CRI,2004,6.5838985
Costa Rica,CRI,2005,7.7620196
Costa Rica,CRI,2006,8.017045
Costa Rica,CRI,2007,8.310775
Costa Rica,CRI,2008,11.372923
Costa Rica,CRI,2009,11.505267
Costa Rica,CRI,2010,11.40137
Costa Rica,CRI,2011,10.128365
Costa Rica,CRI,2012,8.592673
Costa Rica,CRI,2013,8.577627
Costa Rica,CRI,2014,9.846647
Costa Rica,CRI,2015,11.378396
Costa Rica,CRI,2016,11.688089
Costa Rica,CRI,2017,12.074873
Costa Rica,CRI,2018,11.605453
Costa Rica,CRI,2019,11.0728
Croatia,HRV,2000,2.2205446
Croatia,HRV,2001,1.7973005
Croatia,HRV,2002,1.6284217
Croatia,HRV,2003,1.5466903
Croatia,HRV,2004,1.86796
Croatia,HRV,2005,1.535099
Croatia,HRV,2006,1.6751331
Croatia,HRV,2007,1.4073216
Croatia,HRV,2008,1.6159633
Croatia,HRV,2009,1.1181778
Croatia,HRV,2010,1.4191923
Croatia,HRV,2011,1.1259601
Croatia,HRV,2012,1.1773956
Croatia,HRV,2013,1.0675694
Croatia,HRV,2014,0.8403416
Croatia,HRV,2015,0.86960304
Croatia,HRV,2016,1.041728
Croatia,HRV,2017,1.0972061
Croatia,HRV,2018,0.57685584
Croatia,HRV,2019,0.79907954
Cyprus,CYP,2000,0.8436705
Cyprus,CYP,2001,0.72551644
Cyprus,CYP,2002,0.20362565
Cyprus,CYP,2004,1.5706531
Cyprus,CYP,2005,1.9285259
Cyprus,CYP,2006,1.4212109
Cyprus,CYP,2007,1.2105714
Cyprus,CYP,2008,0.82388157
Cyprus,CYP,2009,1.710211
Cyprus,CYP,2010,0.7081617
Cyprus,CYP,2011,0.7859672
Cyprus,CYP,2012,1.9021984
Cyprus,CYP,2013,1.0283054
Cyprus,CYP,2014,0.9345834
Cyprus,CYP,2015,1.263392
Cyprus,CYP,2016,1.0852493
Cyprus,CYP,2017,0.5792194
Cyprus,CYP,2018,1.2306874
Cyprus,CYP,2019,1.2206669
Czechia,CZE,2000,1.8661984
Czechia,CZE,2001,1.3196125
Czechia,CZE,2002,1.3576645
Czechia,CZE,2003,1.5905484
Czechia,CZE,2004,1.3059157
Czechia,CZE,2005,1.0505722
Czechia,CZE,2006,1.2615461
Czechia,CZE,2007,1.2188246
Czechia,CZE,2008,1.0984159
Czechia,CZE,2009,0.90198064
Czechia,CZE,2010,0.98425674
Czechia,CZE,2011,0.8193302
Czechia,CZE,2012,0.9989473
Czechia,CZE,2013,0.85595655
Czechia,CZE,2014,0.7701683
Czechia,CZE,2015,0.83620006
Czechia,CZE,2016,0.6174252
Czechia,CZE,2017,0.62670296
Czechia,CZE,2019,0.9205769
Denmark,DNK,2000,1.0860091
Denmark,DNK,2001,0.9700138
Denmark,DNK,2002,0.89240944
Denmark,DNK,2010,0.7566411
Denmark,DNK,2011,0.8249618
Denmark,DNK,2012,0.83914196
Denmark,DNK,2013,0.853275
Denmark,DNK,2014,1.3095833
Denmark,DNK,2015,1.0919731
Denmark,DNK,2016,0.9812757
Denmark,DNK,2017,1.2375193
Denmark,DNK,2018,1.005777
Denmark,DNK,2019,1.1387403
Ecuador,ECU,2000,14.517079
Ecuador,ECU,2001,12.907223
Ecuador,ECU,2002,14.582335
Ecuador,ECU,2007,15.948823
Ecuador,ECU,2008,17.983282
Ecuador,ECU,2009,17.805342
Ecuador,ECU,2010,17.505487
Ecuador,ECU,2011,15.376308
Ecuador,ECU,2012,12.412907
Ecuador,ECU,2013,10.971196
Ecuador,ECU,2014,8.209052
Ecuador,ECU,2015,6.4831214
Ecuador,ECU,2016,5.8334804
Ecuador,ECU,2017,5.8094463
Ecuador,ECU,2018,5.841674
Ecuador,ECU,2019,6.843968
Egypt,EGY,2003,0.62003607
Egypt,EGY,2004,0.41536367
Egypt,EGY,2005,0.6601302
Egypt,EGY,2006,0.6808908
Egypt,EGY,2007,0.8270619
Egypt,EGY,2008,1.1533216
Egypt,EGY,2009,1.0666534
Egypt,EGY,2010,2.1076782
Egypt,EGY,2011,3.0302672
Egypt,EGY,2012,2.4188852
Egypt,EGY,2014,3.0232553
Egypt,EGY,2015,1.750853
Egypt,EGY,2016,1.5353159
Egypt,EGY,2017,1.3360921
El Salvador,SLV,2000,59.595715
El Salvador,SLV,2001,59.95229
El Salvador,SLV,2002,47.161377
El Salvador,SLV,2003,55.684162
El Salvador,SLV,2004,64.56631
El Salvador,SLV,2005,64.29476
El Salvador,SLV,2006,65.07651
El Salvador,SLV,2007,57.85778
El Salvador,SLV,2008,52.38873
El Salvador,SLV,2009,71.939995
El Salvador,SLV,2010,65.210625
El Salvador,SLV,2011,71.21968
El Salvador,SLV,2012,42.10158
El Salvador,SLV,2013,40.62634
El Salvador,SLV,2014,63.144913
El Salvador,SLV,2015,106.8196
El Salvador,SLV,2016,84.40911
El Salvador,SLV,2017,63.223526
El Salvador,SLV,2018,53.311302
El Salvador,SLV,2019,38.183395
Estonia,EST,2000,10.237125
Estonia,EST,2001,9.870357
Estonia,EST,2002,10.295525
Estonia,EST,2007,7.161109
Estonia,EST,2008,6.432258
Estonia,EST,2009,5.245208
Estonia,EST,2010,5.2570906
Estonia,EST,2011,4.8966837
Estonia,EST,2012,4.7630496
Estonia,EST,2013,3.9454272
Estonia,EST,2014,3.118995
Estonia,EST,2015,3.4229474
Estonia,EST,2016,2.5077407
Estonia,EST,2017,2.2010574
Estonia,EST,2018,2.1177669
Estonia,EST,2019,1.9592499
Ethiopia,ETH,2012,8.631964
Fiji,FJI,2003,2.912716
Fiji,FJI,2004,2.653761
Fiji,FJI,2005,2.6288013
Fiji,FJI,2006,2.491272
Fiji,FJI,2007,2.3578339
Fiji,FJI,2008,1.8957758
Fiji,FJI,2009,3.2172801
Fiji,FJI,2010,2.2095308
Fiji,FJI,2011,2.2017837
Fiji,FJI,2012,2.1952474
Fiji,FJI,2013,2.0800195
Fiji,FJI,2014,2.1844554
Finland,FIN,2000,2.8592353
Finland,FIN,2001,3.0069377
Finland,FIN,2002,2.5381708
Finland,FIN,2003,1.9758338
Finland,FIN,2004,2.8308342
Finland,FIN,2005,2.2683642
Finland,FIN,2006,2.2596722
Finland,FIN,2007,2.4391677
Finland,FIN,2008,2.5031288
Finland,FIN,2009,2.2476897
Finland,FIN,2010,2.2001498
Finland,FIN,2011,2.041511
Finland,FIN,2012,1.6439292
Finland,FIN,2013,1.6363689
Finland,FIN,2014,1.6112968
Finland,FIN,2015,1.4964975
Finland,FIN,2016,1.3466251
Finland,FIN,2017,1.2163817
Finland,FIN,2018,1.5592532
Finland,FIN,2019,1.466983
France,FRA,2000,1.7915143
France,FRA,2001,1.774132
France,FRA,2002,1.8847018
France,FRA,2003,1.652484
France,FRA,2004,1.6470233
France,FRA,2005,1.6129544
France,FRA,2006,1.442896
France,FRA,2007,1.6191262
France,FRA,2008,1.654218
France,FRA,2009,1.318983
France,FRA,2010,1.2747306
France,FRA,2011,1.3635943
France,FRA,2012,1.2430353
France,FRA,2013,1.2268063
France,FRA,2014,1.2455084
France,FRA,2015,1.5859641
France,FRA,2016,1.2173907
France,FRA,2017,1.106883
France,FRA,2018,1.0827998
France,FRA,2019,1.1692591
Georgia,GEO,2000,5.6035256
Georgia,GEO,2001,6.345788
Georgia,GEO,2002,7.1901217
Georgia,GEO,2004,7.470807
Georgia,GEO,2005,10.173732
Georgia,GEO,2006,8.21075
Georgia,GEO,2007,8.447523
Georgia,GEO,2008,6.7788773
Georgia,GEO,2009,5.447189
Georgia,GEO,2010,4.8738136
Georgia,GEO,2016,1.0341783
Georgia,GEO,2017,2.4125772
Georgia,GEO,2018,2.3592877
Georgia,GEO,2019,2.0420012
Germany,DEU,2000,1.6725591
Germany,DEU,2001,1.4488208
Germany,DEU,2002,1.4390358
Germany,DEU,2003,1.3485471
Germany,DEU,2004,1.3683347
Germany,DEU,2005,1.2855216
Germany,DEU,2006,1.2170813
Germany,DEU,2007,1.0938139
Germany,DEU,2008,1.0231787
Germany,DEU,2009,0.9881786
Germany,DEU,2010,0.97509885
Germany,DEU,2011,0.9063736
Germany,DEU,2012,0.8081371
Germany,DEU,2013,0.8349597
Germany,DEU,2014,0.87467664
Germany,DEU,2015,0.8309653
Germany,DEU,2016,1.1696628
Germany,DEU,2017,0.9839711
Germany,DEU,2018,0.9505807
Germany,DEU,2019,0.7492651
Ghana,GHA,2001,2.144034
Ghana,GHA,2002,1.931755
Ghana,GHA,2003,2.044116
Ghana,GHA,2004,2.06332
Ghana,GHA,2005,1.7469034
Ghana,GHA,2006,1.783659
Ghana,GHA,2007,1.6829535
Ghana,GHA,2008,1.7676497
Ghana,GHA,2009,1.7113706
Ghana,GHA,2010,1.650067
Ghana,GHA,2011,1.6141378
Ghana,GHA,2012,2.0849807
Ghana,GHA,2013,2.001773
Ghana,GHA,2014,1.9257805
Ghana,GHA,2015,1.8184376
Ghana,GHA,2016,1.8575976
Ghana,GHA,2017,2.015071
Ghana,GHA,2018,1.6196619
Ghana,GHA,2019,1.8114166
Greece,GRC,2001,1.1921769
Greece,GRC,2002,0.8471051
Greece,GRC,2004,0.9986423
Greece,GRC,2005,1.1877502
Greece,GRC,2006,0.99044734
Greece,GRC,2007,1.1720695
Greece,GRC,2008,1.3003874
Greece,GRC,2009,1.3748817
Greece,GRC,2010,1.5951011
Greece,GRC,2011,1.6720091
Greece,GRC,2012,1.5140965
Greece,GRC,2013,1.4018042
Greece,GRC,2014,0.9849978
Greece,GRC,2015,0.86058193
Greece,GRC,2016,0.7814141
Greece,GRC,2017,0.8043225
Greece,GRC,2018,0.93104
Greece,GRC,2019,0.7376567
Guatemala,GTM,2000,24.7446
Guatemala,GTM,2001,26.896059
Guatemala,GTM,2002,29.544691
Guatemala,GTM,2003,33.70589
Guatemala,GTM,2004,35.06728
Guatemala,GTM,2005,40.64628
Guatemala,GTM,2006,43.87729
Guatemala,GTM,2007,42.207535
Guatemala,GTM,2008,45.00892
Guatemala,GTM,2009,45.569904
Guatemala,GTM,2010,40.981575
Guatemala,GTM,2011,38.298565
Guatemala,GTM,2012,34.075195
Guatemala,GTM,2013,33.42484
Guatemala,GTM,2014,33.429344
Guatemala,GTM,2017,32.78298
Guatemala,GTM,2018,28.895842
Guatemala,GTM,2019,25.645466
Guinea-Bissau,GNB,2016,3.4885912
Guinea-Bissau,GNB,2017,1.1171243
Guyana,GUY,2000,10.012503
Guyana,GUY,2001,10.5289545
Guyana,GUY,2002,18.807783
Guyana,GUY,2003,27.479698
Guyana,GUY,2004,17.22722
Guyana,GUY,2005,18.691368
Guyana,GUY,2006,20.174915
Guyana,GUY,2007,15.201154
Guyana,GUY,2008,20.950739
Guyana,GUY,2009,15.573877
Guyana,GUY,2010,18.718292
Guyana,GUY,2011,17.467718
Guyana,GUY,2012,18.68365
Guyana,GUY,2013,20.737991
Guyana,GUY,2014,19.837175
Guyana,GUY,2015,19.73429
Guyana,GUY,2016,18.706684
Guyana,GUY,2017,15.067107
Guyana,GUY,2018,14.130875
Guyana,GUY,2019,17.02654
Haiti,HTI,2007,5.1587834
Haiti,HTI,2008,5.20091
Haiti,HTI,2009,6.145538
Haiti,HTI,2010,6.878068
Haiti,HTI,2011,9.181951
Haiti,HTI,2012,10.219083
Haiti,HTI,2013,10.125515
Haiti,HTI,2014,9.411548
Haiti,HTI,2015,10.138438
Haiti,HTI,2016,9.595058
Haiti,HTI,2018,6.746927
Honduras,HND,2000,47.71115
Honduras,HND,2001,51.0101
Honduras,HND,2002,51.610367
Honduras,HND,2003,56.554672
Honduras,HND,2004,49.286194
Honduras,HND,2005,42.460865
Honduras,HND,2006,40.25719
Honduras,HND,2007,45.277523
Honduras,HND,2008,54.987938
Honduras,HND,2009,63.7889
Honduras,HND,2010,73.79067
Honduras,HND,2011,82.38905
Honduras,HND,2012,81.570755
Honduras,HND,2013,71.769295
Honduras,HND,2014,64.53877
Honduras,HND,2015,55.38756
Honduras,HND,2016,54.435158
Honduras,HND,2017,40.13777
Honduras,HND,2018,37.874573
Honduras,HND,2019,40.94859
Hungary,HUN,2000,2.0093992
Hungary,HUN,2001,2.4955897
Hungary,HUN,2002,2.000315
Hungary,HUN,2003,2.253396
Hungary,HUN,2004,2.070436
Hungary,HUN,2005,1.6280298
Hungary,HUN,2006,1.7301275
Hungary,HUN,2007,1.5336856
Hungary,HUN,2008,1.8057547
Hungary,HUN,2009,1.3888085
Hungary,HUN,2010,1.3818206
Hungary,HUN,2011,1.4568114
Hungary,HUN,2012,1.249732
Hungary,HUN,2013,1.5563983
Hungary,HUN,2014,1.4795446
Hungary,HUN,2015,2.2449663
Hungary,HUN,2016,2.0580525
Hungary,HUN,2017,1.6344975
Hungary,HUN,2018,0.87967324
Hungary,HUN,2019,0.65494615
Iceland,ISL,2000,1.7764387
Iceland,ISL,2001,0.35058442
Iceland,ISL,2002,1.3898637
Iceland,ISL,2005,1.010004
Iceland,ISL,2006,0.0
Iceland,ISL,2007,0.6413278
Iceland,ISL,2008,0.0
Iceland,ISL,2009,0.3136758
Iceland,ISL,2010,0.6282729
Iceland,ISL,2011,0.93957585
Iceland,ISL,2012,0.3115464
Iceland,ISL,2013,0.30861863
Iceland,ISL,2014,0.3052098
Iceland,ISL,2015,0.9061815
Iceland,ISL,2016,0.29790765
Iceland,ISL,2017,0.87302697
Iceland,ISL,2018,0.8499884
Iceland,ISL,2019,0.27718145
India,IND,2000,4.5456276
India,IND,2001,4.3022475
India,IND,2002,4.1642046
India,IND,2003,3.967281
India,IND,2004,4.0914764
India,IND,2005,3.9055507
India,IND,2006,3.8350396
India,IND,2007,3.8129203
India,IND,2008,3.8118565
India,IND,2009,3.744892
India,IND,2010,3.744921
India,IND,2011,3.788104
India,IND,2012,3.7252629
India,IND,2013,3.5533159
India,IND,2014,3.6225762
India,IND,2015,3.3543067
India,IND,2016,3.1614263
India,IND,2017,3.0288827
India,IND,2018,2.993784
India,IND,2019,2.926661
Indonesia,IDN,2000,1.0295581
Indonesia,IDN,2003,0.7329205
Indonesia,IDN,2004,0.62804675
"Iran, Islamic Republic of",IRN,2009,2.9802475
"Iran, Islamic Republic of",IRN,2013,2.596263
"Iran, Islamic Republic of",IRN,2014,2.42116
Iraq,IRQ,2008,15.729824
Iraq,IRQ,2009,8.432093
Iraq,IRQ,2010,8.607103
Iraq,IRQ,2011,8.1351385
Iraq,IRQ,2012,7.9641047
Iraq,IRQ,2013,9.410459
Ireland,IRL,2000,0.98170567
Ireland,IRL,2001,1.3580506
Ireland,IRL,2002,1.3352995
Ireland,IRL,2003,0.9346491
Ireland,IRL,2004,0.744056
Ireland,IRL,2005,1.2617637
Ireland,IRL,2006,1.4640574
Ireland,IRL,2007,1.7890589
Ireland,IRL,2008,1.1454515
Ireland,IRL,2009,1.1778321
Ireland,IRL,2010,1.215581
Ireland,IRL,2011,0.92419386
Ireland,IRL,2012,1.1392142
Ireland,IRL,2013,1.1113939
Ireland,IRL,2015,0.6644148
Ireland,IRL,2016,0.72098243
Ireland,IRL,2017,0.8172925
Ireland,IRL,2018,0.80670065
Ireland,IRL,2019,0.6535922
Israel,ISR,2000,2.5175912
Israel,ISR,2001,3.0939493
Israel,ISR,2002,3.272142
Israel,ISR,2003,2.6405542
Israel,ISR,2004,2.4105568
Israel,ISR,2005,2.517082
Israel,ISR,2006,2.2394361
Israel,ISR,2007,1.9418864
Israel,ISR,2008,1.6962277
Israel,ISR,2009,2.0000827
Israel,ISR,2010,2.046819
Israel,ISR,2011,1.9705757
Israel,ISR,2012,1.6859617
Israel,ISR,2013,1.6436564
Israel,ISR,2014,1.3733737
Israel,ISR,2015,1.3736645
Israel,ISR,2016,1.2746646
Israel,ISR,2017,1.4802767
Israel,ISR,2018,1.3717287
Israel,ISR,2019,1.5334716
