Entity,Code,Year,Tuberculosis,HepatitisB,Influenza,Inactivated_polio,Measles,Pneumococcus,Polio,Rubella,Rotavirus,Yellow_fever,Diphteria_Tetanus_Pertussis
Armenia,ARM,2018,99.0,92.0,92.0,93.0,95.0,92.0,92.0,95.0,93.0,,92.0
Armenia,ARM,2019,99.0,92.0,92.0,92.0,95.0,92.0,94.0,95.0,92.0,,92.0
Australia,AUS,2001,,94.0,95.0,,92.0,,91.0,92.0,,,92.0
Australia,AUS,2002,,95.0,95.0,,94.0,,92.0,94.0,,,92.0
Australia,AUS,2003,,95.0,95.0,,94.0,,92.0,94.0,,,93.0
Australia,AUS,2004,,95.0,95.0,,94.0,,92.0,94.0,,,92.0
Australia,AUS,2005,,95.0,94.0,,94.0,,92.0,94.0,,,92.0
Australia,AUS,2006,,95.0,95.0,,94.0,,92.0,94.0,,,92.0
Australia,AUS,2007,,94.0,94.0,,94.0,,92.0,94.0,,,92.0
Australia,AUS,2008,,94.0,94.0,,94.0,91.0,92.0,94.0,81.0,,92.0
Australia,AUS,2009,,94.0,94.0,,94.0,91.0,92.0,94.0,82.0,,92.0
Australia,AUS,2010,,92.0,92.0,,94.0,91.0,92.0,94.0,84.0,,92.0
Australia,AUS,2011,,92.0,92.0,,94.0,91.0,92.0,94.0,85.0,,92.0
Australia,AUS,2012,,91.0,92.0,,94.0,91.0,92.0,94.0,84.0,,92.0
Australia,AUS,2013,,91.0,91.0,,94.0,91.0,91.0,94.0,84.0,,91.0
Australia,AUS,2014,,91.0,91.0,,94.0,91.0,92.0,94.0,84.0,,92.0
Australia,AUS,2015,,93.0,93.0,97.0,95.0,93.0,93.0,95.0,85.0,,93.0
Australia,AUS,2016,,94.0,94.0,98.0,95.0,94.0,94.0,95.0,87.0,,94.0
Australia,AUS,2017,,95.0,94.0,98.0,94.0,94.0,95.0,94.0,89.0,,95.0
Australia,AUS,2018,,95.0,94.0,98.0,94.0,95.0,95.0,94.0,90.0,,95.0
Australia,AUS,2019,,95.0,95.0,98.0,94.0,96.0,95.0,94.0,92.0,,95.0
Australia,AUS,2000,,,90.0,,91.0,,90.0,91.0,,,90.0
Austria,AUT,2000,,33.0,72.0,,75.0,,71.0,75.0,,,81.0
Austria,AUT,2001,,44.0,74.0,,79.0,,83.0,79.0,,,84.0
Austria,AUT,2002,,81.0,82.0,,78.0,,82.0,78.0,,,83.0
Austria,AUT,2003,,83.0,84.0,,79.0,,84.0,79.0,,,84.0
Austria,AUT,2004,,83.0,83.0,,74.0,,83.0,74.0,,,83.0
Austria,AUT,2005,,86.0,86.0,,75.0,,86.0,75.0,,,86.0
Austria,AUT,2006,,83.0,83.0,,80.0,,83.0,80.0,,,83.0
Austria,AUT,2007,,85.0,85.0,,79.0,,85.0,79.0,,,85.0
Austria,AUT,2008,,83.0,83.0,,83.0,,83.0,83.0,47.0,,83.0
Austria,AUT,2009,,83.0,83.0,,76.0,,83.0,76.0,61.0,,83.0
Austria,AUT,2010,,86.0,86.0,,80.0,,86.0,80.0,61.0,,86.0
Austria,AUT,2011,,89.0,89.0,,84.0,,89.0,84.0,61.0,,89.0
Austria,AUT,2012,,92.0,92.0,,88.0,,92.0,88.0,61.0,,92.0
Austria,AUT,2013,,95.0,95.0,,92.0,,95.0,92.0,61.0,,95.0
Austria,AUT,2014,,98.0,98.0,,96.0,,98.0,96.0,61.0,,98.0
Austria,AUT,2015,,93.0,93.0,,96.0,,93.0,96.0,61.0,,93.0
Austria,AUT,2016,,87.0,87.0,95.0,95.0,,87.0,95.0,61.0,,87.0
Austria,AUT,2017,,90.0,90.0,94.0,96.0,,90.0,96.0,61.0,,90.0
Austria,AUT,2018,,85.0,85.0,92.0,94.0,,85.0,94.0,61.0,,85.0
Austria,AUT,2019,,85.0,85.0,92.0,95.0,,85.0,95.0,61.0,,85.0
Azerbaijan,AZE,2000,81.0,,,,67.0,,75.0,,,,76.0
Azerbaijan,AZE,2001,83.0,,,,68.0,,77.0,,,,77.0
Azerbaijan,AZE,2002,82.0,50.0,,,66.0,,80.0,,,,76.0
Azerbaijan,AZE,2003,83.0,51.0,,,67.0,,79.0,67.0,,,77.0
Azerbaijan,AZE,2004,82.0,50.0,,,67.0,,78.0,67.0,,,77.0
Azerbaijan,AZE,2005,82.0,49.0,,,67.0,,79.0,67.0,,,75.0
Azerbaijan,AZE,2006,86.0,52.0,,,69.0,,80.0,69.0,,,78.0
Azerbaijan,AZE,2007,88.0,62.0,,,75.0,,81.0,75.0,,,79.0
Azerbaijan,AZE,2008,92.0,68.0,,,79.0,,85.0,79.0,,,81.0
Azerbaijan,AZE,2009,95.0,74.0,,,85.0,,84.0,85.0,,,81.0
Azerbaijan,AZE,2010,98.0,80.0,,,89.0,,85.0,89.0,,,81.0
Azerbaijan,AZE,2011,99.0,84.0,36.0,,92.0,,91.0,92.0,,,87.0
Azerbaijan,AZE,2012,98.0,88.0,89.0,,94.0,,92.0,94.0,,,89.0
Azerbaijan,AZE,2013,98.0,93.0,93.0,,98.0,,96.0,98.0,,,93.0
Azerbaijan,AZE,2014,98.0,94.0,94.0,,98.0,64.0,97.0,98.0,,,94.0
Azerbaijan,AZE,2015,98.0,96.0,96.0,,98.0,94.0,98.0,98.0,,,96.0
Azerbaijan,AZE,2016,98.0,97.0,97.0,88.0,98.0,97.0,98.0,98.0,,,97.0
Azerbaijan,AZE,2017,97.0,95.0,95.0,96.0,98.0,96.0,97.0,98.0,,,95.0
Azerbaijan,AZE,2018,97.0,95.0,95.0,95.0,96.0,95.0,96.0,96.0,,,95.0
Azerbaijan,AZE,2019,96.0,94.0,94.0,95.0,98.0,95.0,96.0,98.0,,,94.0
Bangladesh,BGD,2000,94.0,,,,74.0,,83.0,,,,82.0
Bangladesh,BGD,2001,95.0,,,,77.0,,85.0,,,,85.0
Bangladesh,BGD,2002,95.0,,,,75.0,,83.0,,,,83.0
Bangladesh,BGD,2003,93.0,5.0,,,76.0,,90.0,,,,87.0
Bangladesh,BGD,2004,96.0,11.0,,,81.0,,88.0,,,,99.0
Bangladesh,BGD,2005,97.0,45.0,,,88.0,,94.0,,,,93.0
Bangladesh,BGD,2006,97.0,86.0,,,83.0,,95.0,,,,94.0
Bangladesh,BGD,2007,98.0,95.0,,,89.0,,96.0,,,,94.0
Bangladesh,BGD,2008,99.0,96.0,,,92.0,,96.0,,,,96.0
Bangladesh,BGD,2009,99.0,97.0,97.0,,93.0,,97.0,,,,97.0
Bangladesh,BGD,2010,98.0,94.0,94.0,,88.0,,94.0,,,,94.0
Bangladesh,BGD,2011,99.0,96.0,87.0,,93.0,,96.0,,,,96.0
Bangladesh,BGD,2012,98.0,94.0,94.0,,88.0,,94.0,17.0,,,94.0
Bangladesh,BGD,2013,99.0,96.0,96.0,,91.0,,96.0,91.0,,,96.0
Bangladesh,BGD,2014,99.0,97.0,97.0,,94.0,,97.0,94.0,,,97.0
Bangladesh,BGD,2015,99.0,98.0,98.0,51.0,97.0,48.0,98.0,97.0,,,98.0
Bangladesh,BGD,2016,99.0,98.0,98.0,33.0,97.0,97.0,98.0,97.0,,,98.0
Bangladesh,BGD,2017,99.0,98.0,98.0,55.0,97.0,99.0,98.0,97.0,,,98.0
Bangladesh,BGD,2018,99.0,98.0,98.0,75.0,97.0,99.0,98.0,97.0,,,98.0
Bangladesh,BGD,2019,99.0,98.0,98.0,92.0,97.0,99.0,98.0,97.0,,,98.0
Belarus,BLR,2000,99.0,70.0,,,98.0,,99.0,98.0,,,99.0
Belarus,BLR,2001,99.0,93.0,,,99.0,,99.0,99.0,,,99.0
Belarus,BLR,2002,99.0,99.0,,,99.0,,99.0,99.0,,,99.0
Belarus,BLR,2003,99.0,56.0,,,99.0,,53.0,99.0,,,50.0
Belarus,BLR,2004,99.0,99.0,,,99.0,,99.0,99.0,,,99.0
Belarus,BLR,2005,99.0,99.0,,,99.0,,98.0,99.0,,,99.0
Belarus,BLR,2006,99.0,98.0,,,97.0,,97.0,97.0,,,99.0
Belarus,BLR,2007,98.0,91.0,,,99.0,,90.0,99.0,,,95.0
Belarus,BLR,2008,98.0,98.0,6.0,,99.0,,98.0,99.0,,,97.0
Belarus,BLR,2009,98.0,98.0,19.0,,99.0,,98.0,99.0,,,96.0
Belarus,BLR,2010,99.0,96.0,0.0,,99.0,,99.0,99.0,,,98.0
Belarus,BLR,2011,99.0,98.0,21.0,,99.0,,98.0,99.0,,,98.0
Belarus,BLR,2012,98.0,97.0,22.0,,98.0,,98.0,98.0,,,98.0
Belarus,BLR,2013,99.0,98.0,23.0,,99.0,,98.0,99.0,,,98.0
Belarus,BLR,2014,98.0,97.0,20.0,,99.0,,97.0,99.0,,,97.0
Belarus,BLR,2015,97.0,99.0,9.0,99.0,99.0,,99.0,99.0,,,99.0
Belarus,BLR,2016,98.0,96.0,11.0,99.0,98.0,,98.0,98.0,,,98.0
Belarus,BLR,2017,98.0,98.0,9.0,98.0,97.0,,98.0,97.0,,,97.0
Belarus,BLR,2018,98.0,98.0,67.0,98.0,98.0,,98.0,98.0,,,97.0
Belarus,BLR,2019,97.0,97.0,91.0,98.0,98.0,,98.0,98.0,,,98.0
Belgium,BEL,2000,,60.0,86.0,,82.0,,96.0,82.0,,,95.0
Belgium,BEL,2001,,60.0,86.0,,82.0,,96.0,82.0,,,95.0
Belgium,BEL,2002,,60.0,86.0,,82.0,,96.0,82.0,,,95.0
Belgium,BEL,2003,,64.0,87.0,,82.0,,96.0,82.0,,,95.0
Belgium,BEL,2004,,64.0,87.0,,82.0,,96.0,82.0,,,95.0
Belgium,BEL,2005,,77.0,95.0,,88.0,,97.0,88.0,,,97.0
Belgium,BEL,2006,,94.0,98.0,,92.0,,99.0,92.0,,,98.0
Belgium,BEL,2007,,94.0,98.0,,92.0,,99.0,92.0,,,98.0
Belgium,BEL,2008,,98.0,98.0,,93.0,,99.0,93.0,,,99.0
Belgium,BEL,2009,,97.0,98.0,,95.0,,98.0,95.0,,,98.0
Belgium,BEL,2010,,97.0,98.0,,95.0,,98.0,95.0,,,98.0
Belgium,BEL,2011,,97.0,98.0,,95.0,,98.0,95.0,,,98.0
Belgium,BEL,2012,,98.0,98.0,,96.0,93.0,99.0,96.0,86.0,,99.0
Belgium,BEL,2013,,98.0,98.0,,96.0,93.0,99.0,96.0,86.0,,99.0
Belgium,BEL,2014,,98.0,98.0,,96.0,93.0,99.0,96.0,86.0,,99.0
Belgium,BEL,2015,,98.0,98.0,99.0,96.0,94.0,99.0,96.0,88.0,,99.0
Belgium,BEL,2016,,97.0,97.0,99.0,96.0,94.0,98.0,96.0,87.0,,98.0
Belgium,BEL,2017,,97.0,97.0,99.0,96.0,94.0,98.0,96.0,87.0,,98.0
Belgium,BEL,2018,,97.0,97.0,99.0,96.0,94.0,98.0,96.0,87.0,,98.0
Belgium,BEL,2019,,97.0,97.0,99.0,96.0,94.0,98.0,96.0,84.0,,97.0
Belize,BLZ,2000,96.0,76.0,,,96.0,,91.0,96.0,,,91.0
Belize,BLZ,2001,98.0,96.0,96.0,,94.0,,96.0,94.0,,,96.0
Belize,BLZ,2002,96.0,97.0,89.0,,88.0,,93.0,88.0,,,89.0
Belize,BLZ,2003,99.0,96.0,96.0,,96.0,,95.0,96.0,,,96.0
Belize,BLZ,2004,99.0,97.0,97.0,,97.0,,97.0,97.0,,,97.0
Belize,BLZ,2005,96.0,96.0,96.0,,95.0,,96.0,95.0,,,96.0
Belize,BLZ,2006,97.0,98.0,98.0,,99.0,,98.0,99.0,,,98.0
Belize,BLZ,2007,99.0,96.0,96.0,,96.0,,97.0,96.0,,,96.0
Belize,BLZ,2008,98.0,94.0,94.0,,96.0,,94.0,96.0,,,94.0
Belize,BLZ,2009,99.0,97.0,97.0,,97.0,,98.0,97.0,,,97.0
Belize,BLZ,2010,98.0,96.0,96.0,,98.0,,96.0,98.0,,,96.0
Belize,BLZ,2011,98.0,95.0,95.0,,98.0,,95.0,98.0,,,95.0
Belize,BLZ,2012,98.0,98.0,98.0,,96.0,,98.0,96.0,,,98.0
Belize,BLZ,2013,99.0,95.0,95.0,,99.0,,95.0,99.0,,,95.0
Belize,BLZ,2014,98.0,95.0,95.0,,95.0,,95.0,95.0,,,95.0
Belize,BLZ,2015,98.0,94.0,94.0,7.0,96.0,,94.0,96.0,,,94.0
Belize,BLZ,2016,94.0,95.0,95.0,93.0,95.0,,96.0,95.0,,,95.0
Belize,BLZ,2017,90.0,88.0,88.0,89.0,90.0,,88.0,90.0,,,88.0
Belize,BLZ,2018,99.0,96.0,96.0,97.0,97.0,,96.0,97.0,,,96.0
Belize,BLZ,2019,95.0,98.0,98.0,99.0,96.0,,98.0,96.0,,,98.0
Bhutan,BTN,2000,97.0,98.0,,,78.0,,98.0,,,,92.0
Bhutan,BTN,2001,81.0,89.0,,,78.0,,88.0,,,,88.0
Bhutan,BTN,2002,83.0,83.0,,,78.0,,89.0,,,,86.0
Bhutan,BTN,2003,93.0,95.0,,,88.0,,96.0,,,,95.0
Bhutan,BTN,2004,92.0,89.0,,,87.0,,90.0,,,,89.0
Bhutan,BTN,2005,92.0,95.0,,,93.0,,95.0,,,,95.0
Bhutan,BTN,2006,92.0,95.0,,,90.0,,96.0,90.0,,,95.0
Bhutan,BTN,2007,94.0,95.0,,,95.0,,93.0,95.0,,,95.0
Bhutan,BTN,2008,99.0,96.0,,,99.0,,96.0,99.0,,,96.0
Bhutan,BTN,2009,94.0,93.0,,,94.0,,93.0,94.0,,,93.0
Bhutan,BTN,2010,96.0,91.0,,,95.0,,92.0,95.0,,,91.0
Bhutan,BTN,2011,95.0,95.0,,,95.0,,95.0,95.0,,,95.0
Bhutan,BTN,2012,95.0,97.0,97.0,,95.0,,97.0,95.0,,,97.0
Bhutan,BTN,2013,97.0,97.0,97.0,,94.0,,97.0,94.0,,,97.0
Bhutan,BTN,2014,99.0,99.0,99.0,,97.0,,98.0,97.0,,,99.0
Bhutan,BTN,2015,99.0,99.0,99.0,43.0,97.0,,98.0,97.0,,,99.0
Bhutan,BTN,2016,99.0,98.0,98.0,90.0,97.0,,97.0,97.0,,,98.0
Bhutan,BTN,2017,99.0,98.0,98.0,35.0,97.0,,97.0,97.0,,,98.0
Bhutan,BTN,2018,99.0,97.0,97.0,97.0,97.0,,97.0,97.0,,,97.0
Bhutan,BTN,2019,92.0,97.0,97.0,96.0,97.0,26.0,97.0,97.0,,,97.0
"Bolivia, Plurinational State of",BOL,2000,92.0,77.0,77.0,,84.0,,74.0,84.0,,,75.0
"Bolivia, Plurinational State of",BOL,2001,90.0,77.0,77.0,,88.0,,71.0,88.0,,,71.0
"Bolivia, Plurinational State of",BOL,2002,93.0,77.0,77.0,,91.0,,76.0,91.0,,,77.0
"Bolivia, Plurinational State of",BOL,2003,96.0,80.0,80.0,,96.0,,82.0,96.0,,,88.0
"Bolivia, Plurinational State of",BOL,2004,86.0,84.0,84.0,,90.0,,84.0,90.0,,23.0,84.0
"Bolivia, Plurinational State of",BOL,2005,88.0,85.0,85.0,,89.0,,84.0,89.0,,84.0,85.0
"Bolivia, Plurinational State of",BOL,2006,87.0,83.0,83.0,,88.0,,82.0,88.0,,87.0,83.0
"Bolivia, Plurinational State of",BOL,2007,87.0,84.0,84.0,,86.0,,85.0,86.0,,93.0,84.0
"Bolivia, Plurinational State of",BOL,2008,90.0,88.0,88.0,,92.0,,87.0,92.0,51.0,88.0,88.0
"Bolivia, Plurinational State of",BOL,2009,93.0,93.0,93.0,,93.0,,92.0,93.0,76.0,72.0,93.0
"Bolivia, Plurinational State of",BOL,2010,98.0,91.0,91.0,,88.0,,90.0,88.0,87.0,74.0,91.0
"Bolivia, Plurinational State of",BOL,2011,99.0,95.0,95.0,,96.0,,95.0,96.0,91.0,92.0,95.0
"Bolivia, Plurinational State of",BOL,2012,99.0,93.0,93.0,,92.0,,93.0,92.0,91.0,90.0,93.0
"Bolivia, Plurinational State of",BOL,2013,94.0,87.0,87.0,,87.0,,88.0,87.0,85.0,83.0,87.0
"Bolivia, Plurinational State of",BOL,2014,94.0,85.0,85.0,,89.0,56.0,85.0,89.0,85.0,73.0,85.0
"Bolivia, Plurinational State of",BOL,2015,99.0,89.0,89.0,,95.0,86.0,88.0,95.0,89.0,88.0,89.0
"Bolivia, Plurinational State of",BOL,2016,96.0,87.0,87.0,92.0,94.0,87.0,87.0,94.0,87.0,89.0,87.0
"Bolivia, Plurinational State of",BOL,2017,93.0,84.0,84.0,91.0,83.0,83.0,83.0,83.0,84.0,82.0,84.0
"Bolivia, Plurinational State of",BOL,2018,90.0,83.0,83.0,89.0,89.0,83.0,83.0,89.0,87.0,84.0,83.0
"Bolivia, Plurinational State of",BOL,2019,80.0,75.0,75.0,81.0,79.0,75.0,75.0,79.0,78.0,77.0,75.0
Botswana,BWA,2000,99.0,86.0,,,91.0,,97.0,,,,97.0
Botswana,BWA,2001,99.0,87.0,,,91.0,,97.0,,,,97.0
Botswana,BWA,2002,99.0,88.0,,,92.0,,97.0,,,,97.0
Botswana,BWA,2003,99.0,90.0,,,92.0,,96.0,,,,96.0
Botswana,BWA,2004,99.0,91.0,,,93.0,,96.0,,,,96.0
Botswana,BWA,2005,99.0,92.0,,,93.0,,96.0,,,,96.0
Botswana,BWA,2006,99.0,93.0,,,94.0,,96.0,,,,96.0
Botswana,BWA,2007,99.0,93.0,,,95.0,,96.0,,,,96.0
Botswana,BWA,2008,99.0,94.0,,,95.0,,96.0,,,,96.0
Botswana,BWA,2009,99.0,94.0,,,96.0,,96.0,,,,96.0
Botswana,BWA,2010,98.0,95.0,,,96.0,,96.0,,,,95.0
Botswana,BWA,2011,98.0,95.0,95.0,,97.0,,96.0,,,,95.0
Botswana,BWA,2012,98.0,95.0,95.0,,97.0,52.0,96.0,,74.0,,95.0
Botswana,BWA,2013,98.0,95.0,95.0,,97.0,72.0,96.0,,85.0,,95.0
Botswana,BWA,2014,98.0,95.0,95.0,,97.0,95.0,96.0,,95.0,,95.0
Botswana,BWA,2015,98.0,95.0,95.0,8.0,97.0,93.0,96.0,,92.0,,95.0
Botswana,BWA,2016,98.0,95.0,95.0,49.0,97.0,91.0,96.0,97.0,88.0,,95.0
Botswana,BWA,2017,98.0,95.0,95.0,95.0,97.0,89.0,96.0,97.0,85.0,,95.0
Botswana,BWA,2018,98.0,95.0,95.0,95.0,97.0,91.0,96.0,97.0,87.0,,95.0
Botswana,BWA,2019,98.0,95.0,95.0,95.0,97.0,92.0,96.0,97.0,86.0,,95.0
Brazil,BRA,2000,99.0,94.0,90.0,,99.0,,99.0,99.0,,37.0,98.0
Brazil,BRA,2001,99.0,91.0,93.0,,99.0,,99.0,99.0,,39.0,98.0
Brazil,BRA,2002,99.0,92.0,93.0,,96.0,,99.0,96.0,,20.0,99.0
Brazil,BRA,2003,99.0,97.0,94.0,,97.0,,99.0,97.0,,34.0,99.0
Brazil,BRA,2004,99.0,96.0,95.0,,97.0,,99.0,97.0,,31.0,99.0
Brazil,BRA,2005,99.0,98.0,96.0,,98.0,,99.0,98.0,,34.0,99.0
Brazil,BRA,2006,99.0,99.0,97.0,,99.0,,99.0,99.0,47.0,34.0,99.0
Brazil,BRA,2007,99.0,99.0,98.0,,99.0,,99.0,99.0,80.0,36.0,99.0
Brazil,BRA,2008,99.0,96.0,99.0,,99.0,,99.0,99.0,81.0,35.0,99.0
Brazil,BRA,2009,99.0,99.0,99.0,,99.0,,99.0,99.0,86.0,34.0,99.0
Brazil,BRA,2010,99.0,96.0,99.0,,99.0,24.0,99.0,99.0,83.0,34.0,99.0
Brazil,BRA,2011,99.0,98.0,99.0,,99.0,82.0,98.0,99.0,87.0,37.0,99.0
Brazil,BRA,2012,99.0,96.0,95.0,,99.0,88.0,96.0,99.0,86.0,42.0,95.0
Brazil,BRA,2013,99.0,96.0,98.0,,98.0,94.0,96.0,98.0,93.0,45.0,97.0
Brazil,BRA,2014,99.0,96.0,95.0,,97.0,93.0,96.0,97.0,92.0,47.0,93.0
Brazil,BRA,2015,99.0,96.0,96.0,97.0,96.0,94.0,98.0,96.0,94.0,46.0,96.0
Brazil,BRA,2016,90.0,89.0,89.0,80.0,95.0,84.0,72.0,95.0,88.0,43.0,89.0
Brazil,BRA,2017,91.0,93.0,93.0,99.0,91.0,84.0,75.0,91.0,70.0,55.0,89.0
Brazil,BRA,2018,92.0,93.0,83.0,88.0,92.0,84.0,85.0,92.0,80.0,58.0,87.0
Brazil,BRA,2019,79.0,72.0,72.0,86.0,91.0,84.0,85.0,91.0,83.0,60.0,70.0
Bulgaria,BGR,2000,98.0,94.0,,,89.0,,94.0,89.0,,,93.0
Bulgaria,BGR,2001,98.0,93.0,,,90.0,,94.0,90.0,,,94.0
Bulgaria,BGR,2002,98.0,88.0,,,92.0,,94.0,92.0,,,93.0
Bulgaria,BGR,2003,98.0,96.0,,,96.0,,96.0,96.0,,,96.0
Bulgaria,BGR,2004,98.0,94.0,,,95.0,,94.0,95.0,,,95.0
